id|tier|batch|status|source|locator|title|first_task|blocker
P01|B|B03|OPEN_IN_SOURCE|PROPP|Problem 1|Bones-only enumeration|Build a boundary-state transfer and retain every state before summing.|Prove a uniform enumeration identity, not a fit to initial values.
P02|CONTROL|B00|SOLVED_SOURCE|PROPP_STATUS|Problem 2; DLPY|Enumeration control 2|Reproduce the published bijection and small exact counts.|Do not register a new solution.
P03|CONTROL|B00|SOLVED_SOURCE|PROPP_STATUS|Problem 3; DLPY|Enumeration control 3|Reproduce the published bijection and small exact counts.|Do not register a new solution.
P04|REVIEW|BX|CLAIMED_UNVERIFIED|PROPP|Problem 4|Type-013 existence claim audit|Read the 2026 collar-recursion manuscript and exact Lean endpoint; compare every parameter and tile convention.|Recent claim has not been independently verified here.
P05|CONTROL|B00|SOLVED_SOURCE|COMPRESSION|Theorem 1.1; Propp 5|Enumeration control 5|Check the published compression map and its inverse on exact covers.|Do not register a new solution.
P06|REVIEW|BX|CLAIMED_UNVERIFIED|PROPP|Problem 6|Peripheral enumeration claim audit|Audit the 2026 finite-defect path manuscript against the original formula and full n range.|Recent claim has not been independently verified here.
P07|A|B01|OPEN_IN_SOURCE|PROPP|Problem 7|Type-103 existence|Construct explicit collar extensions with invertible coordinates and enumerate residual boundary states.|A uniform terminating construction is still required; inspect the relation to P04 explicitly.
P08|CONTROL|B00|SOLVED_SOURCE|BCL|Section 3; Propp 8|Enumeration control 8|Check compression and product formula against exact determinants.|Do not use the older open label in the compression paper.
P09|CONTROL|B00|SOLVED_SOURCE|BCL|Section 3; Propp 9|Enumeration control 9|Check compression and product formula against exact determinants.|Do not use the older open label in the compression paper.
P10|CONTROL|B00|SOLVED_SOURCE|BCL|Section 3; Propp 10|Enumeration control 10|Compare the original ratio and subsequent printed variants before reproducing the formula.|The original and later papers print different recurrence presentations; retain a statement-diff record.
P11|CONTROL|B00|SOLVED_SOURCE|BCL|Section 3; Propp 11|Enumeration control 11|Check compression and product formula against exact determinants.|Do not use the older open label in the compression paper.
P12|CONTROL|B00|SOLVED_SOURCE|COMPRESSION|Proposition 3.3; Propp 12|Enumeration control 12|Check the published path bijection in both directions.|Do not register a new solution.
P13|CONTROL|B00|SOLVED_SOURCE|COMPRESSION|Proposition 3.4; Propp 13|Enumeration control 13|Check the published path bijection in both directions.|Do not register a new solution.
P14|CONTROL|B00|STATUS_CONFLICT|PROPP|Problem 14 and its comment|Uniqueness status control|Resolve the explicit solved comment citing DLPY Theorem 1.1 against the author's webpage open label.|Use the actual theorem and its map; do not vote between status labels.
P15|A|B02|OPEN_IN_SOURCE|PROPP|Problem 15|2-adic count family 15|Build exact counts modulo 2^k with compatible reduction maps and keep the boundary-state vector.|A finite congruence table does not supply all k or all n.
P16|A|B02|OPEN_IN_SOURCE|PROPP|Problem 16|2-adic count family 16|Build exact counts modulo 2^k with compatible reduction maps and keep the boundary-state vector.|A uniform continuity modulus remains to be proved.
P17|A|B02|OPEN_IN_SOURCE|PROPP|Problem 17|Weighted 2-adic family 17|Keep a stone-weight indeterminate; specialize to 3 only after checking coefficient and reduction maps.|Prove compatibility uniformly across region size and congruence depth.
P18|A|B02|OPEN_IN_SOURCE|PROPP|Problem 18|Weighted 2-adic family 18|Keep a stone-weight indeterminate; specialize to 3 only after checking coefficient and reduction maps.|Prove compatibility uniformly across region size and congruence depth.
P19|A|B01|OPEN_IN_SOURCE|PROPP|Problem 19; Figure 5|Two-flip connectivity|Build the actual tiling move graph; compute reduced H0 and representatives killed when moves are added.|Exhaustion of finitely many regions leaves the arbitrary-region statement unproved.
P20|B|B02|OPEN_IN_SOURCE|PROPP|Problem 20|Triangular-region valuations|Retain the exact-cover state vector over Z and its successive 2-power quotients.|Need growing valuation uniformly along the admissible size classes.
